seed,genotypes_nnz,linarg_nnz,ts_num_edges,linarg_nnz_ratio
1,19622209,293560,146558,66.84224349366399
2,20143978,295399,146759,68.19243802450245
3,20146575,296097,148035,68.04045633694363
4,21509435,296470,148885,72.5518096266064
5,20986356,294439,147609,71.27573453244985
6,22226175,305096,149844,72.84977515273881
7,21099628,298239,149133,70.74738045661366
8,20525196,307797,150153,66.68419770173199
9,19628469,287367,149381,68.3045339235194
10,19758022,295541,148367,66.85374279710767
11,21523921,298686,148430,72.06203504683849
12,20424032,302731,148455,67.46594171062759
13,21200792,309621,150005,68.47336582466951
14,20444466,299355,149712,68.2950543668888
15,21189199,299483,149623,70.75259363636667
16,21124247,297696,148855,70.95912272922713
17,21651814,310544,149876,69.72221005718997
18,22212972,303081,149828,73.29054609163887
19,21102550,294644,149344,71.62049795685641
20,20406149,290815,147605,70.1688324192356
21,19645577,294413,147550,66.72795358900592
22,21986002,294429,148197,74.67335758366194
23,22353079,311450,148237,71.77100337132767
24,21032706,295161,148459,71.2584182869688
25,22744907,307404,148822,73.99027663921095
26,21936475,303730,149935,72.22360320021072
27,20644722,302670,148668,68.20868272375854
28,20804097,299285,148302,69.51266184406168
29,20531435,297796,148461,68.94462988085803
30,20250851,299660,149196,67.57942668357472
31,20019418,291943,147334,68.57303651740237
32,20365398,295137,148251,69.00320190284512
33,19796089,302390,148976,65.46542213697543
34,19772652,294173,149144,67.21436705612004
35,20138208,298593,148812,67.44367081612764
36,20380587,297333,148629,68.54465195588784
37,20597788,303280,147510,67.91673700870483
38,19375963,294228,148089,65.85356594205854
39,21870416,293014,147418,74.63949162838635
40,21942949,306336,148462,71.63033074793691
41,20633209,292713,150000,70.48955461492999
42,19601230,293111,148447,66.87306174111514
43,20708462,294901,147539,70.22174221179311
44,19843448,294519,148493,67.37578220759951
45,21501785,299463,148344,71.80114070853494
46,20303984,299566,147656,67.77799883831943
47,18231353,289875,148297,62.893843898232
48,20697243,296991,149864,69.6897986807681
49,21710801,301798,148788,71.93818713179014
50,20985294,308793,148448,67.95909881376845
51,20585014,295569,147435,69.64537552991011
52,20728915,299239,148843,69.27210356938768
53,19892870,299785,149693,66.35712260453325
54,20738954,292156,149337,70.98589109927573
55,22284775,309616,148985,71.97552775050384
56,19262478,294008,148660,65.51684988163588
57,19382785,295719,148248,65.54460484446383
58,19785144,297233,149306,66.56442588810798
59,20100329,302229,149234,66.50695002795894
60,19088099,293204,146630,65.10176873439653
61,21973229,303288,149476,72.45004418242726
62,20787574,297381,148699,69.90215918300093
63,20295075,292374,149115,69.41477354347514
64,20376548,293846,148230,69.34430960435058
65,20949310,303057,149290,69.12663294363766
66,20078146,304466,148104,65.94544546845954
67,20628902,301544,148198,68.41091847292601
68,20911867,291529,148405,71.73168707058304
69,19254555,292973,149505,65.7212610035737
70,20341432,293450,147820,69.31822116203783
71,20443140,303148,149980,67.43616979165292
72,20849284,298042,148997,69.95418095436213
73,20665227,299749,149108,68.94177128197258
74,22047882,295502,147200,74.61161684184879
75,19235905,297448,147948,64.66980783195719
76,20656465,300489,148580,68.74283251633172
77,20707217,294695,149793,70.26660445545394
78,19786212,288269,148900,68.63801518720362
79,23291758,300316,147924,77.55749943392959
80,19135690,296480,148572,64.54293712898003
81,21808713,298352,149902,73.097257601759
82,22039405,303628,149670,72.5868661651758
83,19380487,297284,148844,65.1918266707929
84,19634351,295674,148937,66.40540257175132
85,19781114,288707,148163,68.51622579293193
86,22251658,303187,148859,73.39252012784189
87,20258857,299465,150101,67.65016612959778
88,21361620,304558,148911,70.13974349713355
89,19982541,302632,149158,66.02917404636655
90,18446489,288476,147642,63.94462277624482
91,21256544,294701,148554,72.12918856739543
92,21166559,301673,149856,70.16391589568838
93,21403274,296977,147740,72.07047683827368
94,20305261,290096,146743,69.994970630412
95,22365608,301303,148164,74.22962267219377
96,19993768,294892,148555,67.8003065529075
97,20433642,294958,148456,69.27644613809424
98,19623380,294390,148629,66.65776690784334
99,20689851,305313,147273,67.76603354590208
100,20508732,297656,148873,68.90078479855941
