n_mut,mut_type,seed,genotypes_nnz,brick_graph_nnz,linarg_nnz,linarg_ratio,brick_graph_ratio
0,back,1,19622209,2230224,293560,66.84224349366399,8.798313084246246
0,back,2,20143978,2269334,295399,68.19243802450245,8.876603444006038
0,back,3,20146575,2313257,296097,68.04045633694363,8.709181470109028
0,back,4,21509435,2349112,296470,72.5518096266064,9.156411018291166
0,back,5,20986356,2350379,294439,71.27573453244985,8.928924228815863
0,back,6,22226175,2268945,305096,72.84977515273881,9.795819202316496
0,back,7,21099628,2238856,298239,70.74738045661366,9.424289905201585
0,back,8,20525196,2114642,307797,66.68419770173199,9.706227342500528
0,back,9,19628469,2360436,287367,68.3045339235194,8.315611607347117
0,back,10,19758022,2263099,295541,66.85374279710767,8.730515987148596
0,back,11,21523921,2408732,298686,72.06203504683849,8.935789037551707
0,back,12,20424032,2265099,302731,67.46594171062759,9.016838557608299
0,back,13,21200792,2271915,309621,68.47336582466951,9.33168362372712
0,back,14,20444466,2352994,299355,68.2950543668888,8.688702988617905
0,back,15,21189199,2471468,299483,70.75259363636667,8.573527555282933
0,back,16,21124247,2338805,297696,70.95912272922713,9.032068513621272
0,back,17,21651814,2293077,310544,69.72221005718997,9.442253356516158
0,back,18,22212972,2527887,303081,73.29054609163887,8.787169679657358
0,back,19,21102550,2474124,294644,71.62049795685641,8.529301684151644
0,back,20,20406149,2355660,290815,70.1688324192356,8.662603686440319
0,back,21,19645577,2194497,294413,66.72795358900592,8.952200435908548
0,back,22,21986002,2374807,294429,74.67335758366194,9.258016335643276
0,back,23,22353079,2326612,311450,71.77100337132767,9.607566280926944
0,back,24,21032706,2165751,295161,71.2584182869688,9.711507001497402
0,back,25,22744907,2519690,307404,73.99027663921095,9.026867193980213
0,back,26,21936475,2398801,303730,72.22360320021072,9.144766489592092
0,back,27,20644722,2280779,302670,68.20868272375854,9.051609998162908
0,back,28,20804097,2253654,299285,69.51266184406168,9.231273744771824
0,back,29,20531435,2276386,297796,68.94462988085803,9.019311751170497
0,back,30,20250851,2171609,299660,67.57942668357472,9.325274945904166
0,back,31,20019418,2119216,291943,68.57303651740237,9.446615163343425
0,back,32,20365398,2319789,295137,69.00320190284512,8.778987226855547
0,back,33,19796089,2016758,302390,65.46542213697543,9.815797929151639
0,back,34,19772652,2232987,294173,67.21436705612004,8.854799423373267
0,back,35,20138208,2239247,298593,67.44367081612764,8.993294620914977
0,back,36,20380587,2220968,297333,68.54465195588784,9.176443334618059
0,back,37,20597788,2098471,303280,67.91673700870483,9.815617180318432
0,back,38,19375963,2084577,294228,65.85356594205854,9.294913548408143
0,back,39,21870416,2390561,293014,74.63949162838635,9.1486542280243
0,back,40,21942949,2207759,306336,71.63033074793691,9.939014629767108
0,back,41,20633209,2441454,292713,70.48955461492999,8.451197114506355
0,back,42,19601230,2262669,293111,66.87306174111514,8.662879988190937
0,back,43,20708462,2355107,294901,70.22174221179311,8.793002610921711
