covariate_code	covariate_name
p21022	Age at recruitment
p31	Sex
p22009_a1	PC1
p22009_a2	PC2
p22009_a3	PC3
p22009_a4	PC4
p22009_a5	PC5
p22009_a6	PC6
p22009_a7	PC7
p22009_a8	PC8
p22009_a9	PC9
p22009_a10	PC10
p22009_a11	PC11
p22009_a12	PC12
p22009_a13	PC13
p22009_a14	PC14
p22009_a15	PC15
p22009_a16	PC16
p22009_a17	PC17
p22009_a18	PC18
p22009_a19	PC19
p22009_a20	PC20
p22009_a21	PC21
p22009_a22	PC22
p22009_a23	PC23
p22009_a24	PC24
p22009_a25	PC25
p22009_a26	PC26
p22009_a27	PC27
p22009_a28	PC28
p22009_a29	PC29
p22009_a30	PC30
p22009_a31	PC31
p22009_a32	PC32
p22009_a33	PC33
p22009_a34	PC34
p22009_a35	PC35
p22009_a36	PC36
p22009_a37	PC37
p22009_a38	PC38
p22009_a39	PC39
p22009_a40	PC40
