trait	r_z	r_beta	r_se	missingness	n_variants
p30240	0.9991829628015292	0.9986724686779447	0.9993705872894025	0.04623557483079971	8871279
p100012	0.9991079431120594	0.9978026941375229	0.9982665697309017	0.5531161366808229	8843913
p23407	0.9987270751623558	0.9976818648745622	0.9983022557353818	0.4344133139246965	8856746
p23465	0.999156337158978	0.9980802091752415	0.9983027517529293	0.4344983517665361	8856744
p23478	0.9991782867777567	0.9979824141203197	0.9983095998982482	0.44774424618955433	8855960
p23466	0.9992012667107538	0.9980390333269102	0.998302508248585	0.43446333618460214	8856745
p21001	0.9993784808208201	0.9990804031037345	0.9996205400806927	0.0038817273686790623	8872005
p30630	0.9991234262804067	0.9983277779286344	0.9989272369326012	0.1261461350300884	8869437
p23409	0.9989627189551167	0.9977551903651894	0.9983022583192442	0.4344133139246965	8856746
p23405	0.9987617887933378	0.9975158866726402	0.9983022564186415	0.4344133139246965	8856746
p20016	0.999146215556296	0.9981811478800587	0.9985637379159322	0.5093966815232779	8852452
p30730	0.9994330726484136	0.9989565385846351	0.9993345492046146	0.045250136310658245	8871189
p30850	0.9994052043583503	0.9986411347772153	0.9989631870323711	0.13547028427650304	8869457
p3148	0.9985856750691805	0.9972727773373188	0.9982427225099499	0.4791382165063453	8847618
p100025	0.9987404536042122	0.9976291723098609	0.9982665680845143	0.5531161366808229	8843913
p23475	0.9992843377264581	0.998108407884851	0.9983024467990359	0.43479848532597004	8856729
p23473	0.9991999525171057	0.997963988695848	0.9983017028669298	0.43446833841059274	8856743
p30810	0.999375320100896	0.9986402994058955	0.9989242412582932	0.12261456348074894	8869444
p23406	0.9989092373784048	0.9977445320155115	0.998302253195258	0.4344133139246965	8856746
p26021	0.9989251403760178	0.9976013436809404	0.9982667333877459	0.5531611567147381	8843907
p104920	0.998427479156701	0.99719898083026	0.9982667288021451	0.5531611567147381	8843907
p100015	0.9987955197749967	0.9976039238061957	0.9982665678134925	0.5531161366808229	8843913
p23469	0.9991907290430253	0.9977932820064669	0.9983010068767998	0.43510362111139456	8856685
p30870	0.9992753381881379	0.9987105175919853	0.9993376435172446	0.045560274322073324	8871190
p23479	0.9990877402964821	0.997819053841813	0.9983025192045765	0.434488347314555	8856743
p30650	0.9993970608026701	0.9988426834844111	0.9993018617507775	0.04796634502353547	8871115
p30110	0.999379697285054	0.9989748917540175	0.9994789445018349	0.02789241212339491	8871590
