phenotype_code	phenotype_name
p30240	Reticulocyte percentage
p100012	Vitamin B6
p23407	Total Triglycerides
p23465	Isoleucine
p23478	Creatinine
p23466	Leucine
p21001	Body mass index (BMI)
p30630	Apolipoprotein A
p23409	Triglycerides in LDL
p23405	LDL Cholesterol
p20016	Fluid intelligence score
p30730	Gamma glutamyltransferase
p30850	Testosterone
p3148	Heel bone mineral density (BMD)
p100025	Vitamin E
p23475	Acetate
p23473	Citrate
p30810	Phosphate
p23406	HDL Cholesterol
p26021	Vitamin B12 
p104920	Time spent doing light physical activity
p100015	Vitamin C
p23469	Tyrosine
p30870	Triglycerides
p23479	Albumin
p30650	Aspartate aminotransferase
p30110	Platelet distribution width
p30640	Apolipoprotein B
p30160	Basophill count
p30720	Cystatin C
p1727	Ease of skin tanning
p23460	Alanine
p23468	Phenylalanine
p23461	Glutamine
p23439	Apolipoprotein B
p20116	Smoking status
p30050	Mean corpuscular haemoglobin
p23467	Valine
p48	Waist circumference
p1717	Skin colour
p1269	Exposure to tobacco smoke at home
p30750	Glycated haemoglobin (HbA1c)
p1737	Childhood sunburn occasions
p30600	Albumin
p30890	Vitamin D
p30270	Mean sphered cell volume
p30140	Neutrophill count
p30880	Urate
p30150	Eosinophill count
p30610	Alkaline phosphatase
p30740	Glucose
p23410	Triglycerides in HDL
p30700	Creatinine
p30000	White blood cell (leukocyte) count
p23470	Glucose
p2754	Age at first live birth
p23474	3-Hydroxybutyrate
p30080	Platelet count
p49	Hip circumference
p30070	Red blood cell (erythrocyte) distribution width
p30660	Direct bilirubin
p4194	Pulse rate
p21002	Weight
p2443	Diabetes diagnosed by doctor
p23408	Triglycerides in VLDL
p30170	Nucleated red blood cell count
p23477	Acetone
p30010	Red blood cell (erythrocyte) count
p26018	Calcium 
p2395	Hair/balding pattern
p3761	Age hay fever, rhinitis or eczema diagnosed
p50	Standing height
p30620	Alanine aminotransferase
p20015	Sitting height
p30120	Lymphocyte count
p20191	Fluid intelligence score
p23400	Total Cholesterol
p23412	Phospholipids in VLDL
p30130	Monocyte count
p30840	Total bilirubin
p30280	Immature reticulocyte fraction
p23104	Body mass index (BMI)
p100021	Vitamin D
p30670	Urea
p23099	Body fat percentage
p26052	Sodium 
p23098	Weight
p23434	Phosphoglycerides
p30290	High light scatter reticulocyte percentage
