method	node	region	dataset	runtime	peak_mem
linarg	mem3_ssd1_v2_x32	chr1-22	common	17.86	2556.89
plink	mem3_ssd1_v2_x32	chr1	common	47.65	3907.88
plink	mem3_ssd1_v2_x32	chr2	common	52.9	3990.87
plink	mem3_ssd1_v2_x32	chr3	common	53.65	3924.05
plink	mem3_ssd1_v2_x32	chr4	common	46.01	3916.57
plink	mem3_ssd1_v2_x32	chr5	common	40.83	3901.06
plink	mem3_ssd1_v2_x32	chr6	common	43.78	3892.68
plink	mem3_ssd1_v2_x32	chr7	common	37.91	3919.56
plink	mem3_ssd1_v2_x32	chr8	common	36.36	3968.52
plink	mem3_ssd1_v2_x32	chr9	common	30.29	3846.19
plink	mem3_ssd1_v2_x32	chr10	common	34.57	3907.0
plink	mem3_ssd1_v2_x32	chr11	common	31.62	3938.29
plink	mem3_ssd1_v2_x32	chr12	common	30.81	3840.62
plink	mem3_ssd1_v2_x32	chr13	common	24.74	3835.25
plink	mem3_ssd1_v2_x32	chr14	common	22.15	3822.51
plink	mem3_ssd1_v2_x32	chr15	common	19.01	3820.47
plink	mem3_ssd1_v2_x32	chr16	common	20.28	3820.75
plink	mem3_ssd1_v2_x32	chr17	common	19.65	3817.88
plink	mem3_ssd1_v2_x32	chr18	common	19.28	3764.82
plink	mem3_ssd1_v2_x32	chr19	common	15.53	3679.39
plink	mem3_ssd1_v2_x32	chr20	common	15.64	3768.08
plink	mem3_ssd1_v2_x32	chr21	common	10.09	3727.77
plink	mem3_ssd1_v2_x32	chr22	common	10.19	3721.59
